serialNumber,packetType,deviceTime,time,xAxisAcc,yAxisAcc,zAxisAcc,xAxisAngVal,yAxisAngVal,zAxisAngVal,xAxisMagF,yAxisMagF,zAxisMagF,gpsTimeValidity,gpsAltitude,gpsLatitude,gpsLongitude,pressure,temperature
21845,1,625,202858,0.245166257,0.568785667,2.794895172,-0.221000001,-3.660000086,-80.44999695,18.72599983,-35.06999969,31.4109993,2442,6444,372463328,1266667520,101200.125,21.83065796
21845,1,635,202958,-0.313812822,-0.235359609,2.255529642,1.845000029,2.187999964,-75.70400238,24.71199989,-37.29000092,32.25600052,2442,6386,372463328,1266667520,101146.3281,21.82102966
21845,1,646,203068,0.392266005,-0.127486452,2.461469173,-3.821000099,5.531000137,-73.33200073,24.71699905,-37.29100037,32.32300186,2443,6328,372463296,1266667392,101040.2813,21.82766724
21845,1,656,203168,-0.107873149,0.205939651,1.990749955,-7.047999859,-1.488000035,-75.11000061,33.85200119,-39.99000168,31.2689991,2443,6271,372463296,1266667392,100984.8906,21.82113647
21845,1,666,203268,-0.402072668,-0.049033251,1.706357121,-2.075000048,-3.756000042,-76.56999969,33.86800003,-39.99200058,31.2689991,2443,6213,372463264,1266667392,100876.9531,21.81825256
21845,1,677,203378,-0.058839902,0.156906411,1.833843589,-0.26699999,-0.388000011,-74.31900024,44.14199829,-40.30699921,31.69499969,2443,6155,372463264,1266667392,100825.5,21.8135376
21845,1,687,203478,-0.323619455,-0.37265268,1.882876873,-3.944999933,0.532000005,-71.06400299,44.11600113,-40.31000137,31.64999962,2443,6098,372463232,1266667392,100722.7656,21.81575012
21845,1,698,203588,0.156906411,-0.225552961,2.088816404,-2.740999937,-2.197000027,-70.18199921,53.23400116,-37.13399887,32.0909996,2444,6040,372463232,1266667392,100669.9688,21.82815552
21845,1,708,203688,0.078453206,-0.107873149,1.794616938,2.397000074,-0.243000001,-70.35800171,53.22800064,-37.13499832,32.0019989,2444,5983,372463232,1266667392,100574.1563,21.81584167
21845,1,719,203798,0.088259846,-0.18632634,1.539644122,-1.085000038,0.133000001,-65.44499969,60.2159996,-33.00600052,29.84199905,2444,5925,372463200,1266667264,100482.4688,21.80833435
21845,1,729,203898,0.362846047,0.480525851,1.451384187,-1.15199995,-5.563000202,-65.31300354,69.18399811,-25.70400047,32.02399826,2444,5867,372463200,1266667264,100434.9531,21.80978394
21845,1,740,204008,-0.156906411,-0.745305359,1.490610719,1.662999988,-4.593999863,-62.41600037,69.17900085,-25.70400047,32.0019989,2444,5810,372463168,1266667264,100342.2031,21.81103516
21845,1,750,204108,-0.696272194,-0.176519692,1.29447782,1.458999991,-2.513000011,-62.92300034,74.8219986,-16.81299973,27.91300011,2445,5752,372463168,1266667264,100296.4063,21.81045532
